,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
24,0.2175574541091919,0.015278470942549893,0.031379103660583496,0.004282909464628607,2,scale,"{'svc__C': 2, 'svc__gamma': 'scale'}",0.8923076923076924,0.8957528957528957,0.9266409266409267,0.9343629343629344,0.8841698841698842,0.9073359073359073,0.9111969111969112,0.918918918918919,0.9266409266409267,0.9266409266409267,0.9123967923967923,0.016242344248193662,26
25,0.2666792869567871,0.050732452268443175,0.04265034198760986,0.018084699994101203,2,auto,"{'svc__C': 2, 'svc__gamma': 'auto'}",0.8923076923076924,0.8957528957528957,0.9266409266409267,0.9343629343629344,0.8841698841698842,0.9073359073359073,0.9111969111969112,0.918918918918919,0.9266409266409267,0.9266409266409267,0.9123967923967923,0.016242344248193662,26
26,0.4049606561660767,0.07593841198958293,0.04048275947570801,0.004934222358958512,2,0.01,"{'svc__C': 2, 'svc__gamma': 0.01}",0.7115384615384616,0.694980694980695,0.7297297297297297,0.7413127413127413,0.7142857142857143,0.7027027027027027,0.667953667953668,0.7258687258687259,0.6988416988416989,0.6872586872586872,0.7074472824472824,0.020653174346390902,37
27,0.19803764820098876,0.015758978689810958,0.027068734169006348,0.001577792764677239,2,0.1,"{'svc__C': 2, 'svc__gamma': 0.1}",0.9,0.918918918918919,0.9227799227799228,0.9498069498069498,0.8918918918918919,0.918918918918919,0.9305019305019305,0.9652509652509652,0.9266409266409267,0.9575289575289575,0.9282239382239382,0.022411422986150554,21
28,0.1922966718673706,0.0056195543112561065,0.02194206714630127,0.0012090258853510102,2,0.25,"{'svc__C': 2, 'svc__gamma': 0.25}",0.9730769230769231,0.9652509652509652,0.9459459459459459,0.9806949806949807,0.9498069498069498,0.9884169884169884,0.9652509652509652,0.9884169884169884,0.9768339768339769,0.9884169884169884,0.9722111672111671,0.014733229599721757,13
29,0.21940057277679442,0.012472972243277907,0.02103855609893799,0.003816281075483683,2,0.5,"{'svc__C': 2, 'svc__gamma': 0.5}",0.9730769230769231,0.972972972972973,0.9498069498069498,0.9845559845559846,0.9613899613899614,0.9884169884169884,0.9652509652509652,0.9922779922779923,0.9806949806949807,0.9884169884169884,0.9756860706860706,0.013039848774290581,9
30,0.3481961488723755,0.038292947577260386,0.025885009765625,0.008252560690730378,2,1,"{'svc__C': 2, 'svc__gamma': 1}",0.9807692307692307,0.9884169884169884,0.9691119691119691,0.9768339768339769,0.9652509652509652,0.9884169884169884,0.9652509652509652,0.9845559845559846,0.9806949806949807,0.9961389961389961,0.9795441045441045,0.00992750149086358,5
31,0.5371615648269653,0.09399854054871568,0.030187392234802247,0.010023599715577319,2,1.5,"{'svc__C': 2, 'svc__gamma': 1.5}",0.9807692307692307,0.9922779922779923,0.9845559845559846,0.9806949806949807,0.9613899613899614,0.9884169884169884,0.9652509652509652,0.9884169884169884,0.9806949806949807,0.9961389961389961,0.9818607068607068,0.010509365581425208,2
32,0.291128945350647,0.03855120322792191,0.049611020088195804,0.020662412175060665,2.5,scale,"{'svc__C': 2.5, 'svc__gamma': 'scale'}",0.8923076923076924,0.9073359073359073,0.9266409266409267,0.9420849420849421,0.8996138996138996,0.9073359073359073,0.9034749034749034,0.9459459459459459,0.918918918918919,0.9382239382239382,0.9181882981882982,0.018115714190102286,22
33,0.2597822189331055,0.053656933705902736,0.042708969116210936,0.013768375632226128,2.5,auto,"{'svc__C': 2.5, 'svc__gamma': 'auto'}",0.8923076923076924,0.9073359073359073,0.9266409266409267,0.9420849420849421,0.8996138996138996,0.9073359073359073,0.9034749034749034,0.9459459459459459,0.918918918918919,0.9382239382239382,0.9181882981882982,0.018115714190102286,22
34,0.4150136232376099,0.03084615102738831,0.04875137805938721,0.01604520595791751,2.5,0.01,"{'svc__C': 2.5, 'svc__gamma': 0.01}",0.7076923076923077,0.7142857142857143,0.7413127413127413,0.7413127413127413,0.7258687258687259,0.7181467181467182,0.6833976833976834,0.7297297297297297,0.6988416988416989,0.7027027027027027,0.7163290763290763,0.01782410011650439,36
35,0.2753808259963989,0.057133319607602644,0.03549137115478516,0.008587016897826838,2.5,0.1,"{'svc__C': 2.5, 'svc__gamma': 0.1}",0.9115384615384615,0.9343629343629344,0.9382239382239382,0.9652509652509652,0.915057915057915,0.9266409266409267,0.9382239382239382,0.9768339768339769,0.9420849420849421,0.9575289575289575,0.9405746955746956,0.01987807484329278,20
36,0.2555608987808228,0.032727443576998236,0.030356645584106445,0.007949827529933156,2.5,0.25,"{'svc__C': 2.5, 'svc__gamma': 0.25}",0.9730769230769231,0.9652509652509652,0.9420849420849421,0.9806949806949807,0.9498069498069498,0.9884169884169884,0.9691119691119691,0.9922779922779923,0.9806949806949807,0.9884169884169884,0.972983367983368,0.015919357284634474,12
37,0.26721649169921874,0.030963528560488743,0.02256009578704834,0.00533814520030584,2.5,0.5,"{'svc__C': 2.5, 'svc__gamma': 0.5}",0.9730769230769231,0.9768339768339769,0.9498069498069498,0.9884169884169884,0.9613899613899614,0.9884169884169884,0.9691119691119691,0.9922779922779923,0.9806949806949807,0.9922779922779923,0.9772304722304723,0.013421719206947309,8
38,0.3074784517288208,0.0160368698709319,0.01853456497192383,0.0005516545776030662,2.5,1,"{'svc__C': 2.5, 'svc__gamma': 1}",0.9807692307692307,0.9884169884169884,0.9768339768339769,0.9806949806949807,0.9613899613899614,0.9884169884169884,0.9691119691119691,0.9884169884169884,0.9806949806949807,0.9961389961389961,0.981088506088506,0.009683077981950262,3
39,0.352073073387146,0.020165730904219335,0.01676030158996582,0.003030125793045571,2.5,1.5,"{'svc__C': 2.5, 'svc__gamma': 1.5}",0.9807692307692307,0.9922779922779923,0.9845559845559846,0.9806949806949807,0.9652509652509652,0.9884169884169884,0.9768339768339769,0.9884169884169884,0.9806949806949807,0.9961389961389961,0.9834051084051083,0.00828753571678898,1
